# VIX Historical Data for FE-GAN Verification
# Source: https://cdn.cboe.com/api/global/us_indices/daily_prices/VIX_History.csv
# Date range: 2014-01-02 to 2019-12-31
# Fetched: 2026-09-07T10:55:11.665407+00:00
# SHA256 (data only): 2039576bcfcb64fbd360bee9a87b5b08a8df35c73d0ef1cc34faef602f68fa4a
# Rows: 1509
#
Date,Close,LogReturn
2014-01-03,13.76,-0.033586579596563464
2014-01-06,13.55,-0.015379285179487667
2014-01-07,12.92,-0.047610048971254156
2014-01-08,12.87,-0.003877476746420541
2014-01-09,12.89,0.00155279534306082
2014-01-10,12.14,-0.059946031319743846
2014-01-13,13.28,0.08975335841693555
2014-01-14,12.28,-0.07828722132929145
2014-01-15,12.28,0.0
2014-01-16,12.53,0.020153846188980428
2014-01-17,12.44,-0.0072086815969435005
2014-01-21,12.87,0.033981934297001845
2014-01-22,12.84,-0.0023337233462201
2014-01-23,13.77,0.06992701447874825
2014-01-24,18.14,0.2756271319464272
2014-01-27,17.42,-0.040500473262633715
2014-01-28,15.8,-0.0976090313914357
2014-01-29,17.35,0.09358256635994715
2014-01-30,17.29,-0.003464206697669238
2014-01-31,18.41,0.06276569554978752
2014-02-03,21.44,0.1523643409576149
2014-02-04,19.11,-0.11504657795041962
2014-02-05,19.95,0.04301738508369086
2014-02-06,17.23,-0.14657709279603415
2014-02-07,15.29,-0.11945303059886743
2014-02-10,15.26,-0.0019639940846599437
2014-02-11,14.51,-0.050396958960214476
2014-02-12,14.3,-0.014578529630234862
2014-02-13,14.14,-0.01125187679743492
2014-02-14,13.57,-0.04114618662164893
2014-02-18,13.87,0.021866760479962354
2014-02-19,15.5,0.11111178959846076
2014-02-20,14.79,-0.046888747202492594
2014-02-21,14.68,-0.007465253536338866
2014-02-24,14.23,-0.031133611084608444
2014-02-25,13.67,-0.04014876136590284
2014-02-26,14.35,0.04854629146977183
2014-02-27,14.04,-0.021839543607965122
2014-02-28,14.0,-0.002853068982406399
2014-03-03,16.0,0.13353139262452257
2014-03-04,14.1,-0.12641392485565867
2014-03-05,13.89,-0.015005640617870162
2014-03-06,14.21,0.02277678534275693
2014-03-07,14.11,-0.007062176244286769
2014-03-10,14.2,0.006358198742492503
2014-03-11,14.8,0.04138521616285449
2014-03-12,14.47,-0.022549640126676936
2014-03-13,16.22,0.11416750804387432
2014-03-14,17.82,0.09407637335539638
2014-03-17,15.64,-0.13048968692549823
2014-03-18,14.52,-0.074304725720515
2014-03-19,15.12,0.04049136135473699
2014-03-20,14.52,-0.040491361354736875
2014-03-21,15.0,0.032523191705560145
2014-03-24,15.09,0.005982071677547469
2014-03-25,14.02,-0.07354739117331352
2014-03-26,14.93,0.06288772994465501
2014-03-27,14.62,-0.02098215722946657
